"MouseID","behavior_key","start","duration","NetworkFilename"
"007653","Tail_jerk",2263,9,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",2302,6,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",2643,19,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",2731,5,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",2953,12,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3177,8,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3436,5,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3446,7,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3458,17,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3680,41,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3726,5,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3737,12,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3757,8,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",3772,16,"007653_B6J_F_60mg-kg.avi"
"007653","Tail_jerk",6120,7,"007653_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",2379,29,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",4421,11,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",4612,11,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",4815,9,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",4939,10,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",5036,9,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",5241,11,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",5502,36,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",5779,10,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",5834,5,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",5880,5,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",5897,6,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",5908,7,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",6129,5,"007654_B6J_F_60mg-kg.avi"
"007654","Tail_jerk",6262,6,"007654_B6J_F_60mg-kg.avi"
"007656","Tail_jerk",4932,5,"007656_B6J_F_60mg-kg.avi"
"007656","Tail_jerk",4942,43,"007656_B6J_F_60mg-kg.avi"
"007656","Tail_jerk",5229,6,"007656_B6J_F_60mg-kg.avi"
"007656","Tail_jerk",5244,5,"007656_B6J_F_60mg-kg.avi"
"007657","Tail_jerk",3129,11,"007657_B6J_F_60mg-kg.avi"
"007657","Tail_jerk",3416,12,"007657_B6J_F_60mg-kg.avi"
"007657","Tail_jerk",3433,45,"007657_B6J_F_60mg-kg.avi"
"007657","Tail_jerk",3483,17,"007657_B6J_F_60mg-kg.avi"
"007657","Tail_jerk",3642,17,"007657_B6J_F_60mg-kg.avi"
"007658","Tail_jerk",4907,6,"007658_B6J_F_60mg-kg PTZ.avi"
"007658","Tail_jerk",5511,7,"007658_B6J_F_60mg-kg PTZ.avi"
"007658","Tail_jerk",5836,21,"007658_B6J_F_60mg-kg PTZ.avi"
"007658","Tail_jerk",6188,8,"007658_B6J_F_60mg-kg PTZ.avi"
"007658","Tail_jerk",6201,10,"007658_B6J_F_60mg-kg PTZ.avi"
